Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
"Nelson, Jody",(508) 364-8641,jodycraig@comcast.net,27 Deborah Drive,,Marstons Mills,02648-1006,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/23/00,4/23/24,9142993,8,Child Care Network,(508) 778-9470,Family Child Care
New Bedford YMCA Preschool & School Age,(508) 997-0734,tpacheco@ymcasc.org,25 South Water Street,,New Bedford,02740-7236,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Tara Pacheco,1/19/93,9/25/23,9131526,169,Child Care Works,(508) 999-9930,Large Group
Nicole Lima,(774) 268-6662,nicole.matoso94@gmail.com,91 elm street,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/20/16,9/20/22,9104289,10,Child Care Network,(508) 778-9470,Family Child Care
North Star LC - Schooner Program,(774) 992-0120,jantunes@northstarlc.org,80 Rivet Street,,New Bedford,02744-1865,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jennies Antunes,2/24/00,9/24/24,9156122,61,Child Care Works,(508) 999-9930,Large Group
"Northstar Learning Centers, Inc.",(508) 996-8531,jantunes@northstarlc.org,725 Shawmut Ave,,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jennie Antunes,7/23/80,11/2/23,9134083,50,Child Care Works,(508) 999-9930,Large Group
"Nunes, Franciele",(508) 815-9691,francielemarquesnunes.95@gmail.com,38 General Patton Dr,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/10/22,3/10/22,9090505,6,Child Care Network,(508) 778-9470,Family Child Care
"OBrien, Bobbie Jo",(774) 238-1074,bjob13@comcast.net,25 Clipper Circle,,Sandwich,02563-5403,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/27/05,11/27/23,9134680,8,Child Care Network,(508) 778-9470,Family Child Care
Old Colony Y - Plymouth,(508) 927-3100 ext. 121,tleblanc@oldcolonyymca.org,2 Greenside Way South,,Plymouth,2360,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Tara LeBlanc,11/16/15,4/13/23,9120548,94,Child Care Network,(508) 778-9470,Large Group
Old Colony Y - Plymouth South,(774) 259-2321,khennessey@oldcolonyymca.org,178 Bourne Road,,Plymouth,02360-2869,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sydney Jordan,10/28/99,11/30/23,9134380,65,Child Care Network,(508) 778-9470,Large Group
"Orellana Cordova, Jenifer",(774) 400-7719,jennifer-celenia@hotmail.com,128 Cottage St,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/12/24,5/12/24,9146279,6,Child Care Works,(508) 999-9930,Family Child Care
Our World United Preschool LLC,(508) 744-7036,sallen@owupreschool.com,3055 Main St,,Barnstable,2630,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sarah Allen,7/4/22,1/4/25,9162380,19,Child Care Network,(508) 778-9470,Large Group
P.A.C.E. Head Start,(508) 999-1286,croderiques@paceheadstart.org,32 Madison St,,New Bedford,02740-4906,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Colleen Roderiques,2/20/80,5/26/24,9144834,139,Child Care Works,(508) 999-9930,Large Group
P.A.C.E. Head Start,(508) 984-3557,ksilva@paceheadstart.org,247 Smith Street,,New Bedford,02740-4105,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristine Silva,11/9/94,8/30/24,9150444,130,Child Care Works,(508) 999-9930,Large Group
"Paolini, Julie",(508) 221-7337,littlesunshines97@yahoo.com,43 Snead Drive,,Mashpee,2649,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/5/00,1/15/23,9128527,8,Child Care Network,(508) 778-9470,Family Child Care
"Paterlini, Cristiane",(774) 225-4220,cristianepaterlini@gmail.com,37 Captain Lumbert Lane,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/9/21,8/9/24,9152917,8,Child Care Network,(508) 778-9470,Family Child Care
"Pelletier, Heidi",(401) 261-9561,heidisnellpell@gmail.com,19 Lake Street,,Acushnet,02743-1309,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/30/05,8/30/23,9170887,6,Child Care Works,(508) 999-9930,Family Child Care
"Pennington, Christina",(508) 207-6628,tinabina1212@comcast.net,305 Highland Street,,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/1/18,4/1/21,9083358,8,Child Care Works,(508) 999-9930,Family Child Care
"Pereira de Menezes, Luciana",(774) 368-4078,lucianamenezes2728@gmail.com,83 Patriot Way,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/6/20,7/6/23,9125078,10,Child Care Network,(508) 778-9470,Family Child Care
"Pereira Martins, Polyana",(508) 524-9647,polyanna-13@hotmail.com,12A Spring Bars Road,,Falmouth,2540,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/21/24,5/21/24,9145817,6,Child Care Network,(508) 778-9470,Family Child Care
"Pereira Teixeira, Rosangela De Fatima",(508) 815-6573,daycaresweetdreams@gmail.com,3 Rogia Road,,West Yarmouth,2673,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/15/17,3/15/23,9115679,10,Child Care Network,(508) 778-9470,Family Child Care
"Pinto de Menezes Guimaraes, Ima",(774) 368-5179,imaguimaraes@hotmail.com,46 Lexington Drive,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/24/23,4/24/23,9111982,6,Child Care Network,(508) 778-9470,Family Child Care
Plum Hill School,(508) 696-7701,michelle@plumhillschool.com,5 Pine Lane,,West Tisbury,2575,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",MIchelle Brescia,9/14/06,12/27/23,9132830,24,Child Care Network,(508) 778-9470,Large Group
Ponds Child Care Center,(508) 759-1333,pauline@pondschildcare.com,133 Raymond Road,,Plymouth,02360-2360,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Pauline Murphy,4/7/13,2/26/25,9164643,76,Child Care Network,(508) 778-9470,Large Group
Positive Action Day Care,(508) 999-6522,svdaycare@comcast.net,591 Summer Street,,New Bedford,02746-1441,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kellie Ferreira,8/1/96,1/31/25,9159737,39,Child Care Works,(508) 999-9930,Large Group
Rainbow Day Care Center,(508) 994-9393,shirleyrainbow53@aol.com,532 Brock Ave,,New Bedford,02744-1508,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",SHIRLEY CARDOSO,5/31/98,6/24/24,9146311,37,Child Care Works,(508) 999-9930,Large Group
"Ramalho de Almeida, Milaine",(508) 360-5027,milainebgi@gmail.com,420 cotuit rd,,Marstons Mills,2648,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/7/20,10/7/23,9130385,10,Child Care Network,(508) 778-9470,Family Child Care
"Ramirez, Janete",(508) 360-8622,janetedelbem@hotmail.com,773 Old Stage Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/31/13,1/31/25,9161913,8,Child Care Network,(508) 778-9470,Family Child Care
"Ramos Barros, Lorena Adrielle",(774) 810-6704,daycarekidshome@gmail.com,70 Shady Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/14/19,3/14/22,9097835,10,Child Care Network,(508) 778-9470,Family Child Care
"Raposo, Constance",(508) 999-6683,connie100@comcast.net,100 Maple Street,,New Bedford,02740-3508,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/23/99,10/16/23,9126957,8,Child Care Works,(508) 999-9930,Family Child Care
"Raymond, Maureen",(508) 280-7013,pandmraymond7@comcast.net,27 Jeannes Way,,Forestdale,02644-1116,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/13/02,6/29/23,9125102,8,Child Care Network,(508) 778-9470,Family Child Care
READY SET LEARN,(774) 301-7650,jannelysa1999@gmail.com,306 Mt. Pleasant Street,,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",jannelys alvarado,12/10/23,6/10/24,9149653,10,Child Care Works,(508) 999-9930,Small Group
"Ribeiro Soares Batista, Nelma",(508) 360-4780,nelmarsb2006@hotmail.com,5 Uncle Al's Way,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/2/22,8/2/22,9101548,6,Child Care Network,(508) 778-9470,Family Child Care
"Ribeiro, Luciene",(508) 737-0668,firststepscc@hotmail.com,65 Sudbury Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/8/21,4/8/24,9142283,10,Child Care Network,(508) 778-9470,Family Child Care
"Rivera Berrios, Germaries",(774) 849-1778,riveragmarie@gmail.com,193 Chancery Street Apt 1,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/29/17,8/29/23,9133473,10,Child Care Works,(508) 999-9930,Family Child Care
"Rivera, Terry",(508) 662-8496,t12rivera@gmail.com,12 Rockville Avenue,,East Falmouth,02536-5143,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/23/01,1/22/25,9164541,8,Child Care Network,(508) 778-9470,Family Child Care
"Robbins, Pamela",(508) 596-4423,pamer35@msn.com,14 Compass Drive,,Mashpee,02649-3506,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/23/00,3/23/24,9142665,8,Child Care Network,(508) 778-9470,Family Child Care
"Rocha, Patricia",(508) 280-2721,patriciamirandapm21@gmail.com,73 Redgewood Ave,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/13/23,11/13/23,9124967,6,Child Care Network,(508) 778-9470,Family Child Care
"Rodrigues, Isabela",(774) 212-5900,isabelarodriguesrr@gmail.com,28 Vandermint Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/14/23,11/14/23,9127362,8,Child Care Network,(508) 778-9470,Family Child Care
"Rodrigues, Magnalva",(774) 404-4543,magnalvarodrigues583@gmail.com,71 Spring Street,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/25/23,1/25/23,9161131,10,Child Care Network,(508) 778-9470,Family Child Care
"Rooney, Kathleen",(508) 367-0073,krooney56@adelphia.net,9 Blackthorn Path,,Forestdale,02644-1525,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/8/02,11/9/24,9158340,10,Child Care Network,(508) 778-9470,Family Child Care
Saint Joseph School,(508) 996-1983,hkuliga@sjsf.dfrcs.org,100 Spring Street,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/22/20,6/22/24,9143800,120,Child Care Works,(508) 999-9930,Private School
"Salon, Nancy",(508) 693-1922,njsalon@gmail.com,121 Otis Bassett Road,,West Tisbury,2575,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/11/99,9/9/23,9124991,10,Child Care Network,(508) 778-9470,Family Child Care
Sandwich Montessori School,(508) 888-4222,mmcjunkin@earlyeducationinc.com,284 Cotuit Road,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Michelle McJunkin,7/7/16,3/19/23,9118265,38,Child Care Network,(508) 778-9470,Large Group
"Sandwich Montessori School, LLC",(508) 888-4222,mcjunkim@pacificu.edu,288 Cotuit Road,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Michelle McJunkin,10/11/16,5/2/23,9120539,20,Child Care Network,(508) 778-9470,Large Group
Sandwich/Oak Ridge Elem,(508) 539-7509,jmunk@sandwich.k12.ma.us,260 Quaker Meeting House Road,,East Sandwich,2537,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/6/20,8/6/22,9102576,36,Child Care Network,(508) 778-9470,Public School
"Santos Goncalves da Conceicao, Bianca",(508) 221-7172,biancadaconceicao28@gmail.com,280 Arrowhead Drive,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/20/25,2/20/25,9163591,6,Child Care Network,(508) 778-9470,Family Child Care
"Santos Neta, Drielle Luiza",(508) 560-4921,drielleluizaa@hotmail.com,16 Edgartown Meadows Road,Guesthouse,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/14/21,3/14/24,9139942,8,Child Care Network,(508) 778-9470,Family Child Care
"Saunders, Marissa",(774) 454-2429,mls11674@yahoo.com,19 Rosemary Lane,,Centerville,02632-2651,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/11/02,8/10/23,9123197,6,Child Care Network,(508) 778-9470,Family Child Care
"Scala, Jennifer",(508) 548-3782,scalabaxley10@aol.com,6 Harness Drive,,Teaticket,02536-5616,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/22/03,10/22/24,9154101,10,Child Care Network,(508) 778-9470,Family Child Care
"Scala, Kathleen",(508) 274-4430,spsbjs@aol.com,10 Harness Drive,,Teaticket,02536-5616,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/27/81,8/27/24,9148064,10,Child Care Network,(508) 778-9470,Family Child Care
"Scarpa, Eliana Vasconcelos",(508) 367-6105,elianacvs@hotmail.com,70 STRAIGHT WAY,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/6/05,4/4/23,9118014,10,Child Care Network,(508) 778-9470,Family Child Care
School for Early Learning at Forestdale,(508) 477-6600,sritchie@sandwich.k12.ma.us,151 Route 130,,Forestdale,2644,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sherri Ritchie,9/21/23,3/21/24,9144402,89,Child Care Network,(508) 778-9470,Large Group
Sea Stars,(775) 600-9450,falmouthseastars@gmail.com,184B Jones Road,,Falmouth,2540,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Leigh-Ellen Ferreira,2/10/25,2/10/25,9155931,29,Child Care Network,(508) 778-9470,Large Group
"Seixas, Larissa A",(508) 815-7674,larissaayre@gmail.com,1720 Old Stage Road,,West Barnstable,2668,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/15/10,4/15/22,9099981,10,Child Care Network,(508) 778-9470,Family Child Care
Sgt Carney Academy After Sch,(508) 999-0968,ivaldriz@carneydaycare.com,44 Summer Street,,New Bedford,02740-5137,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Imelda Valdriz,6/3/98,6/27/23,9125529,60,Child Care Works,(508) 999-9930,Large Group
"Silva dos Santos Avelar, Edinalva",(774) 368-6407,edinalva_avelar.33@hotmail.com,33 Arrowhead Drive,,Buzzards Bay,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/8/24,8/8/24,9153247,8,Child Care Network,(508) 778-9470,Family Child Care
"Silva lanaro, Eronides",(774) 368-9642,mari.lanarofv@icloud.com,145 Oak Neck Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/26/24,2/26/24,9141648,6,Child Care Network,(508) 778-9470,Family Child Care
"Silva, Maria",(508) 367-4786,saozinhasilva275@gmail.com,160 Dunns Pond Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/26/22,7/26/22,9101776,8,Child Care Network,(508) 778-9470,Family Child Care
"Silvia, Lisa",(508) 514-0557,lmsnewbeginning@gmail.com,18 South Sandwich Road,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/7/12,5/7/24,9140090,10,Child Care Network,(508) 778-9470,Family Child Care
Smith Mills Preschool & Kindergarten,(508) 992-2472,director@smithmillspreschool.org,11 Anderson Way,,North Dartmouth,02747-1223,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Gwen Arruda,6/13/89,12/3/23,9134890,60,Child Care Works,(508) 999-9930,Large Group
"Smola, Nicholas",(774) 849-5224,jennsmola@yahoo.com,38 Mary Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/2/22,10/2/22,9105442,6,Child Care Works,(508) 999-9930,Family Child Care
"Soares Silva, Vanessa",(508) 815-9265,nessa8435@gmail.com,64 Compass Circle,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/12/24,9/12/24,9146974,5,Child Care Network,(508) 778-9470,Family Child Care
South Shore Community Action Council,(508) 927-5771,amcgillveary@sscac.org,979 Falmouth Road,Apt. B1,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Allyson McGillveary,10/6/19,10/6/23,9128472,26,Child Care Network,(508) 778-9470,Large Group
South Shore Early Education,(508) 927-5772,kanspach@sscac.org,314 Onset Ave,,Wareham,2538,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kerry Anspach,11/19/20,11/19/24,9156965,51,Child Care Network,(508) 778-9470,Large Group
"St Pierre, Sharon",(508) 991-2322,rrstp@verizon.net,427 Main Street,,Fairhaven,02719-4575,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/5/93,2/22/24,9139733,10,Child Care Works,(508) 999-9930,Family Child Care
St. Francis Xavier School,(508) 995-4313,hrogers@sfxacushnet.com,223 Main Street,,Acushnet,2743,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/9/25,2/9/25,9160055,60,Child Care Works,(508) 999-9930,Public School
"Stanford, Edward",(508) 258-9935,ed@sagemontessorischool.org,"26 Chestnut St,",,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/12/21,9/12/24,9156394,10,Child Care Network,(508) 778-9470,Family Child Care
"Stolmeier, Sandra",(508) 245-4172,sandrastolmeier@yahoo.com,1014 Tobey Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/11/17,5/11/23,9122348,6,Child Care Works,(508) 999-9930,Family Child Care
"Sullivan, Suzanne",(508) 778-0949,suzannedelane7@msn.com,426 Lincoln Road Ext,,Hyannis,02601-2143,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/23/03,9/24/24,9154971,8,Child Care Network,(508) 778-9470,Family Child Care
"Sunshine’s Place, Inc",(508) 984-7373,sunshinesplace211@gmail.com,211 Acushnet Avenue,,New Bedford,02740-4804,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Yakiria Garcia,5/16/00,10/18/24,9152688,53,Child Care Works,(508) 999-9930,Large Group
"Tamburussi, Luciana",(508) 364-9233,lutamburussi@gmail.com,31 Saint Joseph Street,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/16/20,12/16/23,9136944,8,Child Care Network,(508) 778-9470,Family Child Care
"Teixeira Dos Santos, Maria Clementina",(508) 364-4698,maria.luisrogerio@gmail.com,65 Nautical Way,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/3/21,2/3/24,9138695,10,Child Care Network,(508) 778-9470,Family Child Care
"Texeira, Pamela",(508) 789-5446,pamelatexeira5@gmail.com,11 Cedar Hill Drive,,Acushnet,02743-1300,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/27/10,7/27/22,9133378,8,Child Care Works,(508) 999-9930,Family Child Care
"Texiera, Ashley",(508) 317-4783,ashleytexiera@gmail.com,655 County Road,,West Wareham,2576,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/28/23,11/28/23,9128659,6,Child Care Network,(508) 778-9470,Family Child Care
The Children's Academy of Marion,(774) 553-5048,info@childrensacademymarion.com,13 County Rd,,Marion,02738-1010,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Johnanne Eilertsen,8/31/10,3/14/24,9142094,74,Child Care Works,(508) 999-9930,Large Group
"The Crystal Garden Children's Learning Center of Hyannis, Inc.",(508) 790-0012,sikola2002@yahoo.com,64 Enterprise Road,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lynda Allen,9/6/01,6/19/24,9149584,20,Child Care Network,(508) 778-9470,Large Group
"The Crystal Garden Children's Learning Center of Hyannis, Inc./Annex",(508) 790-0012,sikola2002@yahoo.com,103B Enterprise Road,,Hyannis,02601-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lynda Allen/Sharon Fletcher,7/19/07,6/19/24,9147749,74,Child Care Network,(508) 778-9470,Large Group
The Friendship Garden Nursery Sch,(508) 540-6394,robin@fgnsinc.com,460 Locustfield Rd,,East Falmouth,02536-5023,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Robin Hewitt Temple,3/31/83,5/23/23,9119430,39,Child Care Network,(508) 778-9470,Large Group
The Hundred Acre School at Heritage Museums & Gardens,(774) 205-2748,mrussell@heritagemuseums.org,67 Grove Street,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Melissa Russell,8/26/14,6/6/23,9132519,59,Child Care Network,(508) 778-9470,Large Group
The Joyful Noise Preschool,(508) 833-8607,joyfulnoise@firstchurchsandwich.org,136 Main St,,Sandwich,02563-2232,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Patricia Gill,2/12/87,10/18/23,9127264,18,Child Care Network,(508) 778-9470,Large Group
The Klubhouse,(508) 717-6927,pbettencourt@littlepeoplescollege.com,187 Bridge Street,,Fairhaven,02719-4717,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Paula Bettencourt,9/27/07,12/12/24,9160061,20,Child Care Works,(508) 999-9930,Large Group
The Loft School of Marion,(748) 748-1243,loftschoolcoop@gmail.com,124 Front St,,Marion,02738-1634,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Rebecca Johnson,2/17/90,1/16/25,9160988,33,Child Care Works,(508) 999-9930,Large Group
The Rainbow Place Preschool,(508) 989-9329,rainbowpreschoolmv@gmail.com,34 Anthiers Way,,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Cynthia Andrews,7/14/24,7/14/24,9144045,32,Child Care Network,(508) 778-9470,Large Group
The Rainbow Preschool,(508) 888-1061,info@therainbowpreschool.com,10 Williston Road,,Sagamore Beach,02562-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Helena Fine Jones/Kerri Souto,8/29/07,5/24/23,9118633,24,Child Care Network,(508) 778-9470,Large Group
"Thomas, Kathleen",(508) 274-1240,kathythomas204@gmail.com,414 Teaticket Hwy,,Teaticket,02536-6527,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/28/99,9/28/23,9125883,8,Child Care Network,(508) 778-9470,Family Child Care
"Uribe, Maria",(508) 284-9464,mariauribeedu@aol.com,509 Lunns Way,,Plymouth,02360-6856,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/29/04,8/29/22,9103523,8,Child Care Network,(508) 778-9470,Family Child Care
US TKD Dartmouth,(508) 542-9142,tkddaycare@gmail.com,720 Dartmouth Street,,South Dartmouth,2748,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Youngho Kim,8/26/19,2/26/24,9139352,80,Child Care Works,(508) 999-9930,Large Group
"Vaca Mora, Jessica",(508) 280-2943,chinajesval@hotmail.es,80 Walnut Street,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/14/21,6/25/23,9125654,8,Child Care Network,(508) 778-9470,Family Child Care
"Valentin Burgos, Ana",(774) 634-1677,zilana0432@gmail.com,456 Mill St.,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/10/22,7/10/22,9103834,8,Child Care Works,(508) 999-9930,Family Child Care
"Vasquez De Garcia, Eduvigis",(774) 315-6189,evb58@hotmail.com,702 Summer Street,,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/14/18,6/14/24,9145697,8,Child Care Works,(508) 999-9930,Family Child Care
"Ventura, Donna",(508) 993-1278,donna2179@comcast.net,32 Arthur Avenue,,North Dartmouth,02747-3255,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/20/99,6/20/23,9119000,8,Child Care Works,(508) 999-9930,Family Child Care
"Vieira Do Rosario Lima, Yasmin",(973) 735-7065,yl3728553@gmail.com,488 Union St,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/6/23,7/6/23,9121738,6,Child Care Works,(508) 999-9930,Family Child Care
Vineyard Montessori School,(508) 693-4090,debbie@vineyardmontessori.com,286 Main St,,Vineyard Haven,02568-5417,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Deborah Jernegan,9/10/88,12/17/23,9131177,60,Child Care Network,(508) 778-9470,Large Group
Vineyard Montessori School II,(508) 693-4090,debbie@vineyardmontessori.com,45 Tashmoo Avenue,,Vineyard Haven,2568,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Debbie Jernegan,9/6/21,3/6/24,9136718,18,Child Care Network,(508) 778-9470,Large Group
"Viveiros, Roxanne",(508) 441-0429,roxanneviveiros@gmail.com,101 Nestles Lane,,Acushnet,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/15/13,7/17/22,9103576,10,Child Care Works,(508) 999-9930,Family Child Care
"Wadden, Cleonice",(508) 292-2142,cleowadden67@gmail.com,92 Seaboard Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/11/12,3/11/24,9141726,10,Child Care Network,(508) 778-9470,Family Child Care
Wee Folk Farm Nurture and Nature Play-School,(401) 261-9561,weefolkfarm1@aol.com,19 Lake Street,,Acushnet,2743,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/24/25,3/24/25,9154508,12,Child Care Works,(508) 999-9930,Large Group
Weebles Daycare Center,(774) 413-9788,weeblesdaycarecenter@outlook.com,"280 A Route 130, Unit 1",,Forestdale,2644,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nicole Hickey,4/9/15,4/1/24,9143029,60,Child Care Network,(508) 778-9470,Large Group
West End Day Nursery of New Bedford,(508) 993-6419,wedn2@comcast.net,170 Cedar St,,New Bedford,02740-4362,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Melissa Rioux,6/4/89,6/27/23,9124522,82,Child Care Works,(508) 999-9930,Large Group
West Falmouth Preschool,(508) 540-2957,westfalmouthpreschoolinc@gmail.com,28 Blacksmith Shop Rd,,West Falmouth,02574-0115,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Christina Brousseau,6/24/89,9/8/24,9149684,20,Child Care Network,(508) 778-9470,Large Group
West Parish Family School,(508) 362-4967,director@westparishfamilyschool.org,2049 Meetinghouse Way,,West Barnstable,02668-1404,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Alycia Williams,7/23/87,1/18/24,9135011,72,Child Care Network,(508) 778-9470,Large Group
"White, Melissa",(508) 681-8321,pebblepathchildc@yahoo.com,4 Pebble Path,,Forestdale,02644-1539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/16/10,2/16/22,9094221,10,Child Care Network,(508) 778-9470,Family Child Care
Whiz Kids Learning Center,(508) 428-0188,whiz.kids@comcast.net,593 Flint Street,,Marstons Mills,02648-1294,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lesley Iamele,11/5/85,9/5/23,9125808,75,Child Care Network,(508) 778-9470,Large Group
